
Stanford NER 
CRFClassifier tagged 156234 words in 7194 documents at 6861.70 words per second.
Entity    P       R       F1      TP      FP      FN
    art    0.3333  0.1364  0.1935  9       18      57
    eve    0.4000  0.2703  0.3226  10      15      27
    geo    0.8523  0.8958  0.8735  4987    864     580
    gpe    0.9590  0.9478  0.9534  2362    101     130
    nat    0.5600  0.4242  0.4828  14      11      19
    org    0.7519  0.7077  0.7291  2164    714     894
    per    0.7804  0.7559  0.7679  1873    527     605
    tim    0.9172  0.8670  0.8914  2692    243     413
Totals    0.8499  0.8381  0.8440  14111   2493    2725

